age,study_hours,attendance,math,science,english,previous,final_marks
22,4.93,89.01,62,71,65,54,62.03
19,2.19,73.32,65,29,59,63,54.13
23,5.63,40.26,82,62,77,55,74.37
20,9.0,71.19,20,89,43,35,57.14
22,2.18,63.74,78,30,88,39,54.88
18,3.27,57.79,82,55,59,32,55.36
22,2.62,86.28,98,37,39,88,66.91
23,9.77,93.97,37,82,48,77,69.98
20,1.69,85.76,84,24,56,52,60.03
19,8.55,90.81,39,50,39,34,48.12
23,5.03,94.53,75,35,37,85,57.36
23,9.31,94.76,73,85,23,67,75.26
18,11.61,46.88,67,28,30,36,50.18
21,2.26,67.38,73,21,83,46,51.79
20,4.46,40.02,35,56,71,38,46.82
17,9.91,70.39,39,78,62,75,70.37
23,3.93,95.45,66,77,33,66,62.69
21,3.37,51.95,26,27,64,36,34.98
17,10.08,78.39,42,71,47,46,62.47
20,11.86,78.66,94,94,23,70,78.25
16,7.13,49.62,52,96,35,93,66.23
21,4.06,54.31,59,96,57,86,72.8
24,5.38,67.72,24,92,82,74,64.14
16,2.87,51.29,64,88,42,37,69.73
18,9.38,75.1,60,71,96,39,76.64
22,9.51,69.07,27,97,39,83,65.31
19,10.63,71.15,69,53,88,73,80.94
24,1.29,48.07,50,67,40,77,54.68
18,7.18,71.04,23,43,61,31,50.05
20,3.36,42.97,85,32,88,35,56.17
18,4.75,92.89,75,69,33,74,62.64
22,9.63,60.59,24,84,89,39,60.37
20,3.11,91.38,73,90,24,38,67.18
24,8.02,82.1,99,23,43,61,54.37
22,8.2,85.97,20,83,48,31,56.32
17,11.5,58.87,95,93,21,50,75.65
19,9.53,53.66,92,58,25,32,64.47
24,9.84,64.4,80,82,53,52,75.72
17,6.85,41.45,26,77,95,66,67.05
24,3.05,95.13,49,35,41,65,58.38
20,5.68,63.22,34,81,23,43,61.39
17,7.04,99.31,23,29,25,44,39.92
19,8.46,85.69,82,81,86,64,82.12
22,7.68,44.83,89,52,96,51,76.19
23,5.33,79.61,57,90,82,76,74.54
18,3.92,56.25,66,61,92,65,65.4
16,2.85,54.62,79,63,87,44,59.74
19,8.63,55.39,21,65,53,87,53.92
17,8.1,94.96,88,92,91,60,91.08
23,8.56,70.0,27,93,53,70,67.29
19,5.1,80.17,70,50,76,55,65.52
17,3.89,56.86,38,24,56,59,38.31
21,9.36,71.38,50,37,25,41,44.07
21,9.51,61.01,99,25,90,60,76.79
19,6.01,59.27,41,69,64,31,48.33
21,7.73,54.82,52,47,60,49,53.24
17,5.11,64.54,91,43,24,87,61.3
17,8.72,79.6,56,88,79,49,73.1
19,10.19,53.32,31,47,86,63,50.47
23,8.57,97.93,88,77,36,89,82.31
22,6.64,47.48,83,86,84,63,87.53
24,6.05,68.81,44,37,74,66,49.24
23,8.07,45.1,73,23,28,48,32.13
20,8.48,41.36,48,68,23,81,66.63
17,7.15,95.36,32,51,61,73,53.04
20,7.87,88.62,45,85,65,56,63.73
23,2.06,81.65,41,77,93,67,65.94
24,11.47,91.91,95,30,20,50,62.26
24,9.7,88.17,92,84,36,67,76.05
16,5.11,78.83,29,36,98,42,52.15
24,7.19,90.84,67,99,26,50,69.94
22,1.52,63.45,61,85,24,71,56.7
24,1.45,73.17,78,23,71,77,48.9
23,3.76,86.58,72,51,72,75,72.92
16,8.59,45.09,59,90,22,86,69.93
23,10.37,91.52,94,48,81,81,76.28
23,7.15,49.41,81,80,51,51,74.06
18,6.85,91.87,25,79,21,46,45.96
16,5.43,58.68,23,92,99,55,67.06
23,2.78,59.61,74,77,72,68,74.76
18,2.3,44.44,88,72,31,92,69.86
18,9.37,93.15,22,24,24,80,37.03
16,11.2,50.47,26,80,23,59,58.24
20,6.04,77.8,31,40,75,70,52.28
22,8.25,78.64,36,77,99,62,68.08
24,11.06,56.87,86,33,83,79,80.64
22,1.99,99.14,94,98,64,92,80.6
24,9.48,43.85,89,73,79,68,83.29
23,7.78,76.47,55,97,39,57,76.5
17,7.59,68.77,36,60,72,47,49.15
16,4.22,54.73,20,35,92,88,58.13
22,8.52,49.81,86,70,35,72,79.04
22,9.74,84.23,99,20,49,42,59.69
23,2.24,94.98,97,59,39,30,65.66
20,6.87,46.45,68,37,71,61,56.16
18,2.11,51.64,70,53,55,39,52.02
23,10.6,99.18,90,80,41,44,71.73
21,6.58,40.9,62,40,20,46,55.2
18,9.89,70.5,50,20,40,92,48.8
16,5.05,70.97,43,46,67,83,49.23
18,2.38,55.79,56,70,91,52,71.16
20,1.46,79.78,84,30,24,79,55.47
18,4.1,96.7,82,33,59,88,65.23
16,3.69,67.01,75,74,98,65,73.93
20,7.16,84.97,93,46,64,35,66.2
22,1.24,78.76,37,41,50,61,54.83
22,6.73,68.38,84,40,34,82,63.15
24,5.31,42.99,48,43,77,31,49.73
18,7.35,84.5,96,38,72,72,75.87
22,8.73,61.8,23,43,64,69,54.08
16,7.98,53.47,31,45,86,33,61.69
19,11.83,96.9,75,44,61,75,70.43
19,2.52,86.41,67,64,43,49,62.88
20,5.73,97.74,38,48,57,43,53.82
22,5.67,55.37,45,93,70,43,63.62
22,5.59,90.15,57,30,43,78,44.83
19,8.3,76.46,99,43,96,32,78.85
22,6.39,98.89,44,43,52,50,55.23
18,6.69,96.78,75,31,38,90,46.65
21,5.76,98.38,93,26,44,31,59.97
17,11.91,97.11,47,59,89,50,68.98
24,11.2,40.46,80,89,68,39,81.74
20,4.38,84.47,70,95,36,48,66.97
21,2.23,56.32,31,98,40,82,66.84
19,10.24,82.3,27,42,62,78,58.7
22,11.97,98.84,77,90,95,37,80.77
24,4.22,42.36,42,57,96,86,58.24
22,4.94,74.02,56,50,41,53,53.42
16,11.36,84.1,30,48,82,76,57.98
16,8.82,55.2,36,63,43,50,58.82
24,4.25,53.51,75,47,52,37,51.86
24,7.39,43.62,72,95,86,48,85.8
19,11.39,45.64,86,87,36,59,64.63
24,9.93,79.4,21,40,67,55,47.42
18,9.16,70.31,48,28,63,49,58.39
22,9.11,41.8,76,68,44,74,68.79
21,2.96,98.18,53,56,91,93,67.71
23,10.07,79.36,97,40,79,59,79.05
24,4.04,70.93,21,79,48,82,57.35
20,11.23,56.36,94,42,31,79,66.52
16,5.01,79.49,50,29,28,91,53.14
18,10.43,61.85,96,89,72,71,89.43
23,3.93,82.15,63,40,80,57,62.69
21,6.66,80.95,75,48,50,87,69.92
23,2.18,45.56,73,78,67,60,56.65
24,8.26,94.56,72,59,98,88,75.72
19,10.2,69.22,93,40,66,41,66.21
16,8.9,63.58,95,82,52,74,84.79
